iter	Passed	Remaining
244	470	1448
245	471	1446
246	473	1443
247	475	1440
248	476	1437
249	478	1434
250	479	1432
251	481	1429
252	483	1426
253	484	1423
254	486	1421
255	487	1418
256	489	1415
257	491	1412
258	492	1409
259	494	1407
260	496	1404
261	497	1401
262	499	1399
263	500	1396
264	502	1393
265	503	1390
266	505	1388
267	507	1385
268	508	1382
269	510	1380
270	512	1377
271	513	1375
272	515	1372
273	517	1370
274	518	1367
275	520	1365
276	522	1362
277	523	1360
278	525	1357
279	526	1354
280	528	1352
281	530	1349
282	531	1346
283	533	1344
284	534	1341
285	536	1338
286	537	1336
287	539	1333
288	540	1330
289	542	1328
290	544	1325
291	545	1323
292	547	1320
293	548	1317
294	550	1315
295	552	1312
296	553	1310
297	555	1308
298	556	1305
299	558	1302
300	560	1300
301	561	1298
302	563	1296
303	565	1293
304	566	1291
305	568	1288
306	569	1286
307	571	1283
308	572	1281
309	574	1278
310	576	1276
311	578	1274
312	579	1272
313	581	1270
314	583	1268
315	584	1265
316	586	1263
317	587	1260
318	589	1258
319	591	1256
320	592	1253
321	594	1251
322	595	1249
323	597	1246
324	599	1244
325	600	1242
326	602	1239
327	604	1237
328	605	1235
329	607	1233
330	609	1232
331	611	1230
332	613	1228
333	614	1225
334	616	1223
335	618	1221
336	619	1219
337	621	1217
338	623	1215
339	624	1212
340	626	1210
341	628	1208
342	629	1206
343	631	1204
344	633	1203
345	635	1201
346	637	1199
347	639	1197
348	641	1195
349	642	1193
350	644	1191
351	645	1189
352	647	1186
353	649	1184
354	650	1182
355	652	1180
356	654	1178
357	655	1175
358	657	1173
359	659	1171
360	660	1169
361	662	1167
362	663	1164
363	665	1162
364	667	1160
365	668	1158
366	670	1156
367	672	1154
368	673	1152
369	675	1150
370	677	1147
371	678	1145
372	680	1143
373	682	1141
374	683	1139
375	685	1137
376	686	1134
377	688	1132
378	690	1130
379	691	1128
380	693	1126
381	694	1123
382	696	1121
383	698	1119
384	699	1117
385	701	1115
386	702	1113
387	704	1111
388	706	1109
389	707	1106
390	709	1104
391	710	1102
392	712	1100
393	714	1098
394	715	1096
395	717	1094
396	719	1092
397	720	1090
398	722	1087
399	724	1086
400	725	1084
401	727	1082
402	729	1080
403	730	1078
404	732	1076
405	734	1073
406	735	1071
407	737	1069
408	738	1067
409	740	1065
410	742	1063
411	743	1061
412	745	1059
413	746	1057
414	748	1054
415	749	1052
416	751	1050
417	753	1048
418	754	1046
419	756	1044
420	758	1042
421	759	1040
422	761	1038
423	762	1036
424	764	1034
425	766	1032
426	767	1030
427	769	1028
428	771	1026
429	772	1024
430	774	1022
431	776	1020
432	777	1018
433	779	1016
434	781	1014
435	782	1012
436	784	1010
437	785	1008
438	787	1006
439	789	1004
440	790	1002
441	792	1000
442	793	998
443	795	996
444	797	994
445	798	992
446	800	990
447	802	988
448	803	986
449	805	984
450	807	982
451	808	980
452	810	978
453	812	976
454	813	974
455	815	972
456	816	970
457	818	968
458	820	966
459	821	964
460	823	963
461	826	961
462	827	960
463	829	958
464	831	956
465	832	954
466	834	952
467	836	950
468	838	949
469	839	947
470	841	945
471	843	943
472	844	941
473	846	939
474	848	937
475	849	935
476	851	933
477	852	931
478	854	929
479	856	927
480	857	925
481	859	923
482	860	921
483	862	919
484	863	917
485	865	915
486	867	913
487	868	911
488	870	909
489	872	907
490	873	905
491	875	903
492	876	901
493	878	899
494	879	897
495	881	895
496	883	893
497	884	892
498	886	890
499	888	888
500	889	886
501	891	884
502	892	882
503	894	880
504	896	878
505	897	876
506	899	874
507	900	872
508	902	870
509	903	868
510	905	866
511	907	864
512	908	862
513	910	860
514	912	858
515	913	856
516	915	854
517	916	853
518	918	851
519	920	849
520	921	847
521	923	845
522	924	843
523	926	841
524	928	839
525	929	837
526	931	835
527	932	833
528	934	832
529	936	830
530	937	828
531	939	826
532	941	824
533	942	822
534	944	820
535	946	819
536	947	817
537	949	815
538	951	813
539	953	812
540	954	810
541	956	808
542	958	806
543	959	804
544	961	802
545	963	801
546	965	799
547	966	797
548	968	795
549	969	793
550	971	791
551	973	789
552	974	787
553	976	785
554	977	783
555	979	782
556	980	780
557	982	778
558	984	776
559	985	774
560	987	772
561	989	770
562	990	768
563	992	767
564	993	765
565	995	763
566	997	761
567	998	759
568	1000	757
569	1002	755
570	1003	754
571	1005	752
572	1007	750
573	1008	748
574	1010	746
575	1011	744
576	1013	742
577	1015	741
578	1016	739
579	1018	737
580	1020	735
581	1022	734
582	1023	732
583	1025	730
584	1027	728
585	1028	726
586	1030	725
587	1032	723
588	1033	721
589	1035	719
590	1037	717
591	1038	715
592	1040	714
593	1042	712
594	1044	710
595	1045	708
596	1047	706
597	1048	705
598	1050	703
599	1052	701
600	1053	699
601	1055	697
602	1057	696
603	1058	694
604	1060	692
605	1062	690
606	1063	688
607	1065	686
608	1067	685
609	1068	683
610	1070	681
611	1072	679
612	1073	677
613	1075	676
614	1077	674
615	1078	672
616	1080	670
617	1082	668
618	1083	667
619	1085	665
620	1086	663
621	1088	661
622	1090	659
623	1091	657
624	1093	656
625	1095	654
626	1096	652
627	1098	650
628	1100	648
629	1101	647
630	1103	645
631	1105	643
632	1106	641
633	1108	639
634	1110	638
635	1111	636
636	1113	634
637	1115	632
638	1116	630
639	1118	629
640	1119	627
641	1121	625
642	1123	623
643	1124	621
644	1126	620
645	1128	618
646	1129	616
647	1131	614
648	1133	612
649	1134	611
650	1136	609
651	1138	607
652	1139	605
653	1141	603
654	1143	602
655	1144	600
656	1146	598
657	1148	596
658	1149	595
659	1151	593
660	1153	591
661	1154	589
662	1156	587
663	1158	586
664	1159	584
665	1161	582
666	1163	580
667	1164	578
668	1166	577
669	1168	575
670	1169	573
671	1171	571
672	1172	569
673	1174	568
674	1176	566
675	1177	564
676	1179	562
677	1181	560
678	1182	559
679	1184	557
680	1185	555
681	1187	553
682	1189	551
683	1190	550
684	1192	548
685	1194	546
686	1195	544
687	1197	543
688	1199	541
689	1200	539
690	1202	537
691	1204	535
692	1205	534
693	1207	532
694	1208	530
695	1210	528
696	1212	527
697	1214	525
698	1216	523
699	1217	521
700	1219	520
701	1221	518
702	1223	516
703	1224	514
704	1226	513
705	1228	511
706	1229	509
707	1231	507
708	1233	506
709	1234	504
710	1236	502
711	1238	500
712	1239	499
713	1241	497
714	1243	495
715	1244	493
716	1246	492
717	1248	490
718	1249	488
719	1251	486
720	1253	484
721	1254	483
722	1256	481
723	1258	479
724	1259	477
725	1261	476
726	1263	474
727	1264	472
728	1266	470
729	1268	469
730	1269	467
731	1271	465
732	1272	463
733	1274	461
734	1276	460
735	1277	458
736	1279	456
737	1281	454
738	1282	453
739	1284	451
740	1286	449
741	1287	447
742	1289	446
743	1291	444
744	1292	442
745	1294	440
746	1296	438
747	1297	437
748	1299	435
749	1300	433
750	1302	431
751	1304	430
752	1305	428
753	1307	426
754	1309	424
755	1310	423
756	1312	421
757	1314	419
758	1315	417
759	1317	415
760	1318	414
761	1320	412
762	1322	410
763	1324	409
764	1325	407
765	1327	405
766	1328	403
767	1330	401
768	1332	400
769	1334	398
770	1335	396
771	1337	394
772	1339	393
773	1340	391
774	1342	389
775	1343	387
776	1345	386
777	1347	384
778	1348	382
779	1350	380
780	1352	379
781	1353	377
782	1355	375
783	1356	373
784	1358	372
785	1360	370
786	1362	368
787	1363	366
788	1365	365
789	1367	363
790	1368	361
791	1370	359
792	1372	358
793	1373	356
794	1375	354
795	1377	352
796	1378	351
797	1380	349
798	1382	347
799	1383	345
800	1385	344
801	1387	342
802	1388	340
803	1390	338
804	1392	337
805	1393	335
806	1395	333
807	1396	331
808	1398	330
809	1400	328
810	1401	326
811	1403	324
812	1405	323
813	1407	321
814	1408	319
815	1410	318
816	1412	316
817	1414	314
818	1416	312
819	1417	311
820	1419	309
821	1421	307
822	1422	306
823	1424	304
824	1426	302
825	1427	300
826	1429	299
827	1431	297
828	1432	295
829	1434	293
830	1436	292
831	1438	290
832	1439	288
833	1441	286
834	1443	285
835	1444	283
836	1446	281
837	1447	279
838	1449	278
839	1451	276
840	1453	274
841	1454	273
842	1456	271
843	1458	269
844	1459	267
845	1461	266
846	1462	264
847	1464	262
848	1466	260
849	1468	259
850	1469	257
851	1471	255
852	1473	253
853	1474	252
854	1476	250
855	1478	248
856	1479	246
857	1481	245
858	1483	243
859	1484	241
860	1486	239
861	1488	238
862	1489	236
863	1491	234
864	1493	233
865	1494	231
866	1496	229
867	1497	227
868	1499	226
869	1501	224
870	1503	222
871	1504	220
872	1506	219
873	1508	217
874	1509	215
875	1511	213
876	1512	212
877	1514	210
878	1516	208
879	1518	207
880	1519	205
881	1521	203
882	1523	201
883	1524	200
884	1526	198
885	1527	196
886	1529	194
887	1531	193
888	1533	191
889	1534	189
890	1536	187
891	1538	186
892	1539	184
893	1541	182
894	1542	181
895	1544	179
896	1546	177
897	1547	175
898	1549	174
899	1551	172
900	1552	170
901	1554	168
902	1556	167
903	1557	165
904	1559	163
905	1560	161
906	1562	160
907	1564	158
908	1565	156
909	1567	155
910	1569	153
911	1571	151
912	1572	149
913	1574	148
914	1576	146
915	1577	144
916	1579	142
917	1581	141
918	1582	139
919	1584	137
920	1586	136
921	1587	134
922	1589	132
923	1591	130
924	1592	129
925	1594	127
926	1596	125
927	1597	123
928	1599	122
929	1601	120
930	1603	118
931	1605	117
932	1606	115
933	1608	113
934	1610	111
935	1612	110
936	1613	108
937	1615	106
938	1617	105
939	1618	103
940	1620	101
941	1622	99
942	1623	98
943	1625	96
944	1627	94
945	1628	92
946	1630	91
947	1631	89
948	1633	87
949	1635	86
950	1636	84
951	1638	82
952	1639	80
953	1641	79
954	1643	77
955	1644	75
956	1646	73
957	1647	72
958	1649	70
959	1651	68
960	1652	67
961	1654	65
962	1656	63
963	1657	61
964	1659	60
965	1661	58
966	1662	56
967	1664	55
968	1666	53
969	1667	51
970	1669	49
971	1671	48
972	1672	46
973	1674	44
974	1676	42
975	1677	41
976	1679	39
977	1681	37
978	1682	36
979	1684	34
980	1686	32
981	1687	30
982	1689	29
983	1691	27
984	1692	25
985	1694	24
986	1695	22
987	1697	20
988	1699	18
989	1700	17
990	1702	15
991	1704	13
992	1705	12
993	1707	10
994	1709	8
995	1710	6
996	1712	5
997	1714	3
998	1715	1
999	1717	0
