iter	Logloss
144	0.3724649906
145	0.3722460461
146	0.3720180422
147	0.3718040508
148	0.3715026075
149	0.3711492065
150	0.3708417146
151	0.3705452541
152	0.3702460651
153	0.3700494658
154	0.3698302476
155	0.3695732688
156	0.3693325981
157	0.3691429249
158	0.3687966507
159	0.3685765132
160	0.3678303628
161	0.3675230841
162	0.3673483838
163	0.3668757616
164	0.3665272586
165	0.3662608022
166	0.3659892521
167	0.3657901876
168	0.3655122102
169	0.3653333839
170	0.3650634479
171	0.3648701717
172	0.364648453
173	0.3642698843
174	0.3640260819
175	0.3633825344
176	0.3630350497
177	0.3627282082
178	0.3624587247
179	0.3621724181
180	0.362057163
181	0.3616942148
182	0.3614291877
183	0.3610673231
184	0.3607595335
185	0.3605794368
186	0.3604136847
187	0.3602202183
188	0.3600724443
189	0.3599051658
190	0.3595468946
191	0.3589302157
192	0.3586591845
193	0.3585060113
194	0.3582907172
195	0.3580876999
196	0.3578578699
197	0.3576230593
198	0.3574174079
199	0.3572560684
200	0.3570658933
201	0.356737375
202	0.3561577389
203	0.3560498851
204	0.3556734439
205	0.3553875682
206	0.3552310488
207	0.3547709611
208	0.3546080069
209	0.3540650933
210	0.353565629
211	0.3533788241
212	0.3532514177
213	0.3531499753
214	0.3530378535
215	0.3528509506
216	0.3526219349
217	0.3524094613
218	0.3521634482
219	0.3520112937
220	0.3517968326
221	0.3516519287
222	0.3513758512
223	0.3510368655
224	0.3507426509
225	0.350518125
226	0.3499438876
227	0.3496941698
228	0.349557659
229	0.3494002227
230	0.3492573544
231	0.3490552515
232	0.3489384834
233	0.3487440411
234	0.3485929441
235	0.3484101685
236	0.3481405106
237	0.3480204826
238	0.3478200871
239	0.3476271562
240	0.3474342016
241	0.3471249114
242	0.3468139874
243	0.3466474112
244	0.3464696949
245	0.3462559716
246	0.34592995
247	0.3457881367
248	0.3456082599
249	0.3452488487
250	0.3450198291
251	0.3447242047
252	0.3445896872
253	0.3443598579
254	0.3442361549
255	0.3440695788
256	0.3438853095
257	0.3436681523
258	0.3434933104
259	0.343385958
260	0.3432300384
261	0.3430015506
262	0.3428569807
263	0.3427005976
264	0.3425409389
265	0.3424573585
266	0.3421468793
267	0.3418631618
268	0.3415942712
269	0.3413560841
270	0.3411428652
271	0.3409439665
272	0.3408189078
273	0.3407144819
274	0.3405924416
275	0.3403810077
276	0.340233467
277	0.3401241945
278	0.3399635485
279	0.3397979414
280	0.3396417246
281	0.3394707022
282	0.3392929904
283	0.3390902226
284	0.3389100808
285	0.3387577438
286	0.3386360486
287	0.3384821028
288	0.3383328968
289	0.3382504644
290	0.3380475472
291	0.3378605346
292	0.3376545474
293	0.3375146778
294	0.3373721761
295	0.3372495066
296	0.3371444201
297	0.3370083598
298	0.3368257798
299	0.3366253754
300	0.3362582965
301	0.3361437121
302	0.3359612414
303	0.3358700247
304	0.3357543387
305	0.3355873812
306	0.3354488042
307	0.3353113521
308	0.3351339141
309	0.3349662688
310	0.334832087
311	0.3346075283
312	0.3345195832
313	0.3343624729
314	0.3341641809
315	0.3339930184
316	0.3339155646
317	0.3337934616
318	0.3336714428
319	0.3335653427
320	0.3333870699
321	0.333227405
322	0.3330542141
323	0.3329438789
324	0.3327570393
325	0.3326117523
326	0.3324683593
327	0.3323089412
328	0.3320136697
329	0.3318466732
330	0.3316101659
331	0.3314609797
332	0.3312575249
333	0.3310933734
334	0.3308724206
335	0.3305685591
336	0.3304876489
337	0.3302781724
338	0.3301548537
339	0.3299934436
340	0.3298342125
341	0.3296847603
342	0.3295619173
343	0.3294069211
344	0.3292649774
345	0.3291331665
346	0.3290444003
347	0.3288874219
348	0.3287254123
349	0.3286112517
350	0.3284718306
351	0.3282559964
352	0.3281568301
353	0.3280200144
354	0.3278941522
355	0.3277640127
356	0.327632118
357	0.3274548235
358	0.3272183505
359	0.3270982689
360	0.3268737626
361	0.3267200228
362	0.3265637675
363	0.3264468634
364	0.3263008976
365	0.3262021991
366	0.3260407714
367	0.3258500138
368	0.3257172599
369	0.3255996304
370	0.3254411804
371	0.3252864331
372	0.3249143178
373	0.3245309501
374	0.3243569251
375	0.3241943238
376	0.324108061
377	0.3239120856
378	0.3237937569
379	0.3236431624
380	0.3234846761
381	0.3233743571
382	0.3231990532
383	0.323047959
384	0.3227451707
385	0.3225672514
386	0.3223960605
387	0.3221823039
388	0.3220090385
389	0.3218798452
390	0.3217761678
391	0.3216619724
392	0.3214751138
393	0.3213215449
394	0.3211700006
395	0.3209990106
396	0.3208244279
397	0.3206640973
398	0.3205120069
399	0.3203855468
400	0.3200715701
401	0.3198888322
402	0.3197699314
403	0.3196737253
404	0.3195157448
405	0.3194096993
406	0.3192654865
407	0.3191002665
408	0.3189289844
409	0.3187757523
410	0.3185968485
411	0.318490152
412	0.3183440984
413	0.3181223768
414	0.3180268876
415	0.317869977
416	0.3177318055
417	0.3176335305
418	0.3174831971
419	0.3173951301
420	0.3172527299
421	0.317096069
422	0.3169665614
423	0.3167561965
424	0.3165894534
425	0.3164461645
426	0.3163427955
427	0.316257481
428	0.3161126972
429	0.316003656
430	0.3158600674
431	0.315658204
432	0.3155227764
433	0.3153737875
434	0.3152458821
435	0.3151295892
436	0.3149577161
437	0.3148402056
438	0.3146537396
439	0.3145768215
440	0.3143858072
441	0.3142663305
442	0.3141470846
443	0.3140287162
444	0.3138775518
445	0.3137071004
446	0.3135607659
447	0.3134088559
448	0.3133304634
449	0.3132047511
450	0.3130697929
451	0.3127368499
452	0.3125857556
453	0.3124832224
454	0.3123731532
455	0.312285957
456	0.3121048258
457	0.3119819037
458	0.3118365839
459	0.311663223
460	0.3115245098
461	0.311405631
462	0.311277068
463	0.3111157466
464	0.3109835455
465	0.3108261999
466	0.3107108327
467	0.3106143555
468	0.3104950333
469	0.310357773
470	0.310248266
471	0.3100995319
472	0.3099820036
473	0.3098796231
474	0.3097749462
475	0.3096214564
476	0.30953344
477	0.3094097758
478	0.3092400961
479	0.3090646813
480	0.3089033831
481	0.308797491
482	0.3086763751
483	0.3085749963
484	0.3084317995
485	0.308245063
486	0.3081461301
487	0.3080330431
488	0.3078851362
489	0.3075842147
490	0.3074524307
491	0.3072537078
492	0.3071365923
493	0.3070440227
494	0.3068691818
495	0.3067722927
496	0.30662294
497	0.3064951076
498	0.3063866426
499	0.306247593
500	0.3061169218
501	0.3060228609
502	0.3058540882
503	0.30568176
504	0.3055838668
505	0.3053812171
506	0.3052174762
507	0.3050939308
508	0.3049753553
509	0.304844018
510	0.3046980761
511	0.3045806773
512	0.3045026646
513	0.3043037946
514	0.304184253
515	0.3040373255
516	0.3038976471
517	0.3037229569
518	0.3035927807
519	0.3033941303
520	0.303283619
521	0.3031367542
522	0.3030482636
523	0.3028657162
524	0.3027512316
525	0.3025967879
526	0.3024701365
527	0.3023694737
528	0.3021079372
529	0.3019697874
530	0.3018517588
531	0.3016522779
532	0.3014765863
533	0.3013700957
534	0.301180162
535	0.3010664458
536	0.3009823932
537	0.3008538612
538	0.3006870244
539	0.3006064664
540	0.3005400238
541	0.3004102438
542	0.3002715213
543	0.3001604445
544	0.3000494623
545	0.2999648742
546	0.2998222948
547	0.2996932675
548	0.299623872
549	0.2994551664
550	0.2992654921
551	0.2991993051
552	0.2990729063
553	0.298958044
554	0.2988239656
555	0.2986908235
556	0.2985728831
557	0.2984444751
558	0.2982729084
559	0.2981429174
560	0.2979839624
561	0.2978874803
562	0.2977781321
563	0.297585273
564	0.2975060649
565	0.2973249248
566	0.2971634722
567	0.2970999911
568	0.2969252135
569	0.2967798498
570	0.2966021854
571	0.2964712746
572	0.296395273
573	0.2962617055
574	0.2961403029
575	0.2958496493
576	0.295738724
577	0.2956262318
578	0.2955285878
579	0.2954235468
580	0.2952537562
581	0.2951649174
582	0.2950447401
583	0.2949385334
584	0.2948272419
585	0.2946477436
586	0.2945308492
587	0.2944415001
588	0.2943692738
589	0.2942596363
590	0.2941115679
591	0.2939948879
592	0.293918983
593	0.293701474
594	0.2935570488
595	0.2934095901
596	0.2933345317
597	0.2932629965
598	0.2930896061
599	0.2930125949
600	0.2929011639
601	0.2927767835
602	0.292591432
603	0.2924822089
604	0.2923680086
605	0.2921743613
606	0.2920798307
607	0.2919610595
608	0.2918005129
609	0.2916860189
610	0.2916269421
611	0.2915253295
612	0.2913473802
613	0.2912391937
614	0.2911356028
615	0.2910041905
616	0.2908367029
617	0.2906822151
618	0.2904920099
619	0.2903759735
620	0.2902802457
621	0.2901055901
622	0.2899846382
623	0.2898472278
624	0.289723156
625	0.2896147002
626	0.2895229746
627	0.2893971388
628	0.2893095655
629	0.2891831465
630	0.2890805192
631	0.2889876832
632	0.28885396
633	0.2887599638
634	0.288610943
635	0.288430776
636	0.2883212431
637	0.288229069
638	0.2881499282
639	0.2880208924
640	0.2878890542
641	0.2877052195
642	0.2875877817
643	0.2874494651
644	0.2872891939
645	0.287193706
646	0.2870350901
647	0.2869454038
648	0.2867754006
649	0.2866683499
650	0.2866136773
651	0.2865051482
652	0.2863968604
653	0.2862704378
654	0.2861492348
655	0.2860248254
656	0.2858839889
657	0.2857343628
658	0.2856361995
659	0.2854733073
660	0.285375413
661	0.2852894134
662	0.285171071
663	0.2850883993
664	0.2849120694
665	0.2848365393
666	0.2847454671
667	0.2846512205
668	0.2845988757
669	0.2844377452
670	0.2842599787
671	0.2840953295
672	0.2839526199
673	0.2838901071
674	0.2838255876
675	0.2836885034
676	0.2835742518
677	0.2834412484
678	0.2833537353
679	0.2831624452
680	0.2830092484
681	0.2828928848
682	0.2828034817
683	0.2826578347
684	0.2825176577
685	0.2824291153
686	0.2822935958
687	0.2821279974
688	0.2819858004
689	0.2819107995
690	0.2817797898
691	0.2816418752
692	0.2815488148
693	0.2814801132
694	0.2813750655
695	0.2812940619
696	0.2811916983
697	0.2810887659
698	0.2809636964
699	0.2808303736
700	0.2807165959
701	0.2806475778
702	0.2805675212
703	0.2804364768
704	0.280348612
705	0.2802238114
706	0.2801600522
707	0.2800778345
708	0.2799876159
709	0.2798064186
710	0.2796647994
711	0.2795311677
712	0.2793875627
713	0.2792832815
714	0.2791979696
715	0.279059117
716	0.2789313633
717	0.2787692676
718	0.2786412952
719	0.2785129179
720	0.2783699432
721	0.2782913635
722	0.2781678901
723	0.2780321495
724	0.2779624884
725	0.2778002623
726	0.2777329016
727	0.2776079545
728	0.2774726277
729	0.2773539088
730	0.2772636562
731	0.2770118103
732	0.2769288573
733	0.276834701
734	0.2766996521
735	0.2765714306
736	0.2764534027
737	0.2763535565
738	0.2762513831
739	0.2761302276
740	0.2760312963
741	0.2759638813
742	0.2758517558
743	0.2757017648
744	0.2756184007
745	0.2755319265
746	0.2754267968
747	0.2753399459
748	0.2752801133
749	0.2751340862
750	0.2750533029
751	0.2749954199
752	0.2749107363
753	0.2748255814
754	0.2747283992
755	0.2746149621
756	0.2744908313
757	0.274392557
758	0.2742978084
759	0.2742128085
760	0.2741529761
761	0.2740825136
762	0.2739834552
763	0.2738227414
764	0.2736729437
765	0.2735825976
766	0.2734455062
767	0.2732629252
768	0.2731305184
769	0.2730199142
770	0.2729401037
771	0.2728342136
772	0.2727665803
773	0.2726320062
774	0.2725602832
775	0.2724700318
776	0.2723954758
777	0.2723047811
778	0.2721202536
779	0.2720316156
780	0.2719289961
781	0.2717869975
782	0.271705829
783	0.2715836478
784	0.2715014121
785	0.2714544151
786	0.2713929152
787	0.2713248731
788	0.2712550644
789	0.2711502798
790	0.2710213046
791	0.2709221834
792	0.2707941847
793	0.27067258
794	0.2705604025
795	0.2704559637
796	0.2703520952
797	0.2702681407
798	0.2701968261
799	0.2701075501
800	0.2699667777
801	0.269876449
802	0.2698113847
803	0.2696714656
804	0.2695390947
805	0.2694229841
806	0.2693410675
807	0.2692560887
808	0.2691705671
809	0.2690927397
810	0.2690204104
811	0.2688199159
812	0.2687198258
813	0.2686356418
814	0.2685796475
815	0.2684661802
816	0.268373726
817	0.2682866117
818	0.2681286952
819	0.26801318
820	0.2678953708
821	0.267767496
822	0.2676900152
823	0.2675720506
824	0.2675035984
825	0.2674409692
826	0.2673113005
827	0.2672182982
828	0.2670618327
829	0.2669841944
830	0.2668225704
831	0.2667634955
832	0.2666398058
833	0.2664735484
834	0.2663667783
835	0.2662735393
836	0.2661288938
837	0.2660690842
838	0.2659776133
839	0.2658812575
840	0.2658345748
841	0.2656866304
842	0.2656201596
843	0.2655692586
844	0.2654281553
845	0.2653040212
846	0.2651980737
847	0.2651373294
848	0.2649662968
849	0.2648287666
850	0.2646959595
851	0.2646169682
852	0.2645354622
853	0.2644350829
854	0.2643514643
855	0.2642405145
856	0.2641487235
857	0.2640344264
858	0.2639667301
859	0.2638943786
860	0.2637893573
861	0.2637380971
862	0.2636610738
863	0.2634919543
864	0.2633856882
865	0.2633106006
866	0.2631663823
867	0.2630604468
868	0.2629601125
869	0.2628649541
870	0.2627365317
871	0.262673286
872	0.2626310652
873	0.2625578122
874	0.2624037645
875	0.2622896379
876	0.2622300261
877	0.2621405813
878	0.2620158419
879	0.2619506932
880	0.2618075345
881	0.2617282855
882	0.2616544853
883	0.2615904222
884	0.2614674993
885	0.2613613023
886	0.2612710184
887	0.2611499825
888	0.2610300585
889	0.2609302141
890	0.26081651
891	0.2606935988
892	0.2605583945
893	0.2605000409
894	0.2604494248
895	0.2603266449
896	0.2602615443
897	0.2601634762
898	0.260092593
899	0.2600258085
900	0.2599482936
901	0.2598694926
902	0.2597303267
903	0.2596640125
904	0.2596383121
905	0.2595342966
906	0.2593995198
907	0.2593015145
908	0.2592000483
909	0.2591050153
910	0.2590567273
911	0.2589834626
912	0.2589194365
913	0.2588548281
914	0.2587429627
915	0.2586739213
916	0.2585930599
917	0.2584815894
918	0.2583422334
919	0.2582283544
920	0.2581095104
921	0.2580283577
922	0.2579420371
923	0.2578489222
924	0.2577741493
925	0.2576521567
926	0.2575901532
927	0.2574828964
928	0.2574185019
929	0.2573422172
930	0.2572949837
931	0.2571312531
932	0.2570198904
933	0.2569500223
934	0.25683591
935	0.2567453923
936	0.2566866605
937	0.2566013638
938	0.2565163183
939	0.2564809288
940	0.2563226195
941	0.2562414439
942	0.2561833259
943	0.256114502
944	0.2560056928
945	0.2559183546
946	0.2557628306
947	0.2557216686
948	0.2556454793
949	0.2555999443
950	0.2555427538
951	0.2554803273
952	0.2553938412
953	0.2553256422
954	0.2552341044
955	0.2551436635
956	0.2550382804
957	0.2549743586
958	0.2549155175
959	0.2548306371
960	0.2547622804
961	0.2546944269
962	0.2546340653
963	0.2545184596
964	0.2544156627
965	0.2543924161
966	0.2542689726
967	0.2541860021
968	0.2541430613
969	0.2540747041
970	0.2539631226
971	0.2538799337
972	0.2538177733
973	0.253706059
974	0.2536357115
975	0.2535334519
976	0.2534299849
977	0.2533271341
978	0.2532233722
979	0.2531117943
980	0.2529438766
981	0.2528495679
982	0.2527118945
983	0.2526232626
984	0.2525345192
985	0.2524048007
986	0.2523053334
987	0.2522211853
988	0.2521556441
989	0.2521017172
990	0.2520632925
991	0.2519576759
992	0.2518087544
993	0.2517024908
994	0.2516768533
995	0.2515602245
996	0.2514495111
997	0.2514076412
998	0.2513323636
999	0.2512587864
